current_role,data_vis_lib,prog_language,proportion_time-Gathering data,proportion_time-Cleaning data,proportion_time-Visualizing data,proportion_time-Model building/model selection,proportion_time-Putting the model into production,proportion_time-Finding insights in the data and communicating with stakeholders
Student,,Python,15.0,15.0,10.0,30.0,10.0,10.0
Research Assistant,Matplotlib,Python,0.0,20.0,10.0,50.0,20.0,0.0
Software Engineer,,C/C++,20.0,10.0,10.0,30.0,10.0,20.0
Student,,,20.0,20.0,30.0,10.0,0.0,20.0
Developer Advocate,,Python,20.0,10.0,20.0,20.0,20.0,10.0
Data Analyst,ggplot2,R,20.0,30.0,30.0,0.0,0.0,20.0
Software Engineer,,C#/.NET,,,,,,
Data Scientist,Matplotlib,Python,30.0,35.0,10.0,10.0,5.0,10.0
Consultant,ggplot2,,35.0,25.0,40.0,0.0,0.0,0.0
Data Analyst,ggplot2,R,0.0,20.0,20.0,40.0,10.0,0.0
Marketing Analyst,,,10.0,20.0,10.0,20.0,20.0,20.0
Not employed,,R,20.0,30.0,30.0,0.0,0.0,20.0
Other,ggplot2,R,0.0,0.0,15.0,85.0,0.0,0.0
Data Scientist,,,0.0,50.0,20.0,30.0,0.0,0.0
Data Scientist,Matplotlib,Python,5.0,10.0,20.0,5.0,40.0,20.0
Research Assistant,Other,Python,25.0,25.0,25.0,25.0,0.0,0.0
Data Analyst,ggplot2,R,20.0,20.0,20.0,10.0,0.0,30.0
Student,ggplot2,R,10.0,30.0,20.0,25.0,0.0,15.0
Software Engineer,,C/C++,,,,,,
Business Analyst,ggplot2,Python,15.0,35.0,15.0,15.0,5.0,15.0
Data Scientist,Matplotlib,Python,10.0,20.0,10.0,20.0,10.0,30.0
Data Engineer,,Python,10.0,10.0,20.0,30.0,20.0,10.0
Data Scientist,Matplotlib,Python,5.0,20.0,20.0,25.0,5.0,25.0
Not employed,,Python,25.0,25.0,5.0,0.0,0.0,0.0
Student,,,30.0,10.0,5.0,40.0,0.0,0.0
Not employed,Matplotlib,,10.0,20.0,20.0,10.0,0.0,40.0
Product/Project Manager,D3,Python,30.0,25.0,10.0,20.0,5.0,10.0
Marketing Analyst,,Python,45.0,10.0,5.0,10.0,5.0,10.0
Data Scientist,,SQL,40.0,20.0,20.0,10.0,0.0,10.0
Data Analyst,ggplot2,R,20.0,40.0,10.0,10.0,10.0,10.0
Software Engineer,,,60.0,10.0,3.0,6.0,5.0,12.0
Software Engineer,,C#/.NET,0.0,0.0,0.0,50.0,40.0,10.0
Data Scientist,Matplotlib,,40.0,5.0,5.0,10.0,20.0,20.0
Product/Project Manager,Matplotlib,Java,30.0,20.0,10.0,20.0,10.0,10.0
Student,Matplotlib,Python,20.0,20.0,20.0,30.0,0.0,10.0
Consultant,,Python,,,,,,
Data Scientist,Matplotlib,Python,20.0,25.0,15.0,20.0,0.0,20.0
Data Scientist,Matplotlib,Scala,15.0,10.0,10.0,30.0,15.0,20.0
Software Engineer,,Javascript/Typescript,0.0,0.0,0.0,0.0,0.0,0.0
Principal Investigator,,Python,20.0,40.0,20.0,5.0,5.0,10.0
Student,Seaborn,Python,60.0,30.0,0.0,0.0,0.0,0.0
Software Engineer,,,10.0,10.0,20.0,50.0,10.0,0.0
Data Engineer,,Python,30.0,20.0,10.0,30.0,5.0,5.0
Student,Matplotlib,Python,25.0,15.0,5.0,35.0,10.0,10.0
Software Engineer,,PHP,20.0,20.0,20.0,10.0,10.0,20.0
Software Engineer,,Visual Basic/VBA,20.0,40.0,10.0,15.0,5.0,10.0
Student,Seaborn,Python,5.0,20.0,40.0,20.0,15.0,0.0
Data Scientist,Plotly,Python,5.0,10.0,10.0,30.0,5.0,30.0
Research Scientist,Plotly,R,20.0,40.0,10.0,10.0,0.0,20.0
Software Engineer,Seaborn,Python,30.0,30.0,5.0,10.0,15.0,10.0
Data Scientist,Matplotlib,Python,10.0,10.0,10.0,40.0,20.0,10.0
Manager,,MATLAB,20.0,20.0,20.0,20.0,10.0,10.0
Data Scientist,Matplotlib,Python,10.0,30.0,10.0,30.0,5.0,15.0
Data Engineer,,Python,7.0,40.0,1.0,40.0,10.0,1.0
Data Scientist,,,10.0,20.0,60.0,10.0,0.0,0.0
Student,,,30.0,0.0,20.0,40.0,10.0,0.0
Data Analyst,Matplotlib,Python,30.0,26.0,8.0,13.0,7.0,7.0
Data Analyst,Matplotlib,Python,10.0,20.0,5.0,20.0,20.0,25.0
Student,,Java,40.0,0.0,10.0,0.0,0.0,50.0
Data Scientist,Matplotlib,Python,10.0,20.0,20.0,30.0,10.0,10.0
Data Analyst,Seaborn,Python,5.0,60.0,10.0,10.0,10.0,0.0
Student,,Python,20.0,10.0,5.0,20.0,5.0,10.0
Data Analyst,,Python,10.0,15.0,35.0,20.0,10.0,10.0
Student,,,15.0,5.0,5.0,40.0,20.0,15.0
Student,,MATLAB,10.0,10.0,10.0,40.0,10.0,10.0
Data Engineer,Seaborn,,30.0,10.0,20.0,20.0,20.0,0.0
Data Analyst,Matplotlib,MATLAB,20.0,10.0,10.0,30.0,20.0,10.0
Student,,,30.0,20.0,20.0,10.0,5.0,15.0
Data Analyst,Seaborn,,10.0,45.0,10.0,10.0,10.0,10.0
Data Scientist,Matplotlib,Python,10.0,30.0,5.0,20.0,20.0,10.0
Student,,,10.0,20.0,10.0,20.0,10.0,20.0
Student,,Python,20.0,0.0,20.0,20.0,20.0,0.0
Student,,Python,5.0,10.0,5.0,20.0,20.0,20.0
Student,,Python,20.0,20.0,10.0,10.0,20.0,20.0
Student,,R,20.0,40.0,20.0,10.0,5.0,3.0
Student,Matplotlib,Python,20.0,10.0,20.0,30.0,20.0,0.0
Product/Project Manager,,,20.0,10.0,20.0,10.0,10.0,20.0
Student,,Python,10.0,10.0,10.0,20.0,30.0,10.0
Data Engineer,,SQL,10.0,10.0,5.0,30.0,30.0,0.0
Student,D3,C/C++,30.0,10.0,30.0,10.0,5.0,10.0
Student,Plotly,Python,20.0,40.0,5.0,25.0,5.0,5.0
Student,,Python,10.0,20.0,10.0,20.0,20.0,20.0
Student,,,10.0,20.0,20.0,20.0,10.0,10.0
Data Analyst,Matplotlib,Python,20.0,20.0,15.0,15.0,10.0,10.0
Data Engineer,Matplotlib,Python,0.0,20.0,30.0,35.0,0.0,0.0
Student,,Python,10.0,10.0,10.0,20.0,30.0,20.0
Student,,Python,25.0,25.0,10.0,40.0,0.0,0.0
Student,,Python,30.0,20.0,10.0,20.0,15.0,5.0
Software Engineer,,C/C++,10.0,10.0,10.0,20.0,10.0,20.0
Student,Matplotlib,Python,0.0,20.0,5.0,20.0,40.0,0.0
Data Analyst,ggplot2,Python,5.0,30.0,25.0,10.0,10.0,20.0
Student,Matplotlib,Python,10.0,20.0,20.0,10.0,20.0,20.0
Student,Matplotlib,,20.0,10.0,5.0,30.0,10.0,20.0
Student,Matplotlib,,50.0,15.0,10.0,25.0,0.0,0.0
Student,Matplotlib,Python,10.0,10.0,5.0,20.0,20.0,20.0
Student,Matplotlib,Python,5.0,25.0,10.0,25.0,20.0,5.0
Data Scientist,,Python,10.0,30.0,10.0,20.0,10.0,10.0
Software Engineer,,Python,10.0,20.0,10.0,30.0,20.0,5.0
Data Scientist,,,10.0,20.0,10.0,20.0,10.0,20.0
Student,,SAS/STATA,50.0,10.0,10.0,10.0,10.0,10.0
Student,,Python,0.0,0.0,10.0,20.0,50.0,20.0
Student,Matplotlib,,10.0,30.0,20.0,30.0,5.0,5.0
Research Assistant,,,5.0,10.0,10.0,40.0,20.0,10.0
Software Engineer,,,30.0,10.0,10.0,30.0,10.0,5.0
Product/Project Manager,,Python,,,,,,
Data Analyst,,Python,5.0,15.0,35.0,10.0,15.0,10.0
Data Engineer,Matplotlib,Python,30.0,20.0,5.0,10.0,20.0,10.0
Data Scientist,Seaborn,Python,20.0,10.0,20.0,10.0,20.0,10.0
Student,,,10.0,30.0,10.0,30.0,10.0,10.0
Student,,MATLAB,10.0,30.0,10.0,25.0,10.0,15.0
Student,,,10.0,0.0,0.0,50.0,0.0,40.0
Business Analyst,Matplotlib,SQL,20.0,30.0,10.0,20.0,5.0,5.0
Data Engineer,,Java,5.0,10.0,5.0,20.0,10.0,50.0
Student,,C/C++,5.0,10.0,10.0,30.0,30.0,15.0
Student,,,10.0,20.0,10.0,10.0,10.0,20.0
Data Scientist,,C/C++,10.0,5.0,10.0,45.0,20.0,10.0
Software Engineer,Seaborn,,20.0,50.0,0.0,10.0,0.0,20.0
Student,Matplotlib,Java,5.0,15.0,25.0,25.0,10.0,10.0
Student,Matplotlib,Python,10.0,10.0,10.0,40.0,20.0,10.0
Research Scientist,Matplotlib,Python,40.0,0.0,10.0,35.0,10.0,5.0
Data Analyst,Seaborn,SQL,20.0,30.0,5.0,5.0,5.0,10.0
Software Engineer,,Python,15.0,25.0,10.0,25.0,15.0,5.0
Student,Matplotlib,Python,10.0,10.0,10.0,50.0,10.0,10.0
Software Engineer,,,,,,,,
Not employed,,,,,,,,
Student,,MATLAB,20.0,10.0,10.0,10.0,30.0,10.0
Software Engineer,,,25.0,20.0,5.0,10.0,15.0,5.0
Student,,MATLAB,50.0,10.0,10.0,10.0,10.0,10.0
Business Analyst,ggplot2,,20.0,20.0,30.0,10.0,10.0,10.0
Software Engineer,,C#/.NET,10.0,5.0,10.0,30.0,30.0,10.0
Developer Advocate,,Python,10.0,10.0,10.0,10.0,10.0,20.0
Research Assistant,,Python,20.0,10.0,5.0,15.0,20.0,20.0
Software Engineer,,Python,15.0,15.0,15.0,15.0,15.0,15.0
Student,ggplot2,R,20.0,20.0,30.0,10.0,5.0,15.0
Data Engineer,Matplotlib,Python,20.0,30.0,10.0,20.0,10.0,10.0
Product/Project Manager,,Python,30.0,10.0,5.0,30.0,10.0,5.0
Software Engineer,,Python,10.0,30.0,10.0,20.0,10.0,20.0
Data Analyst,ggplot2,R,5.0,50.0,10.0,10.0,10.0,10.0
Other,,Python,0.0,0.0,0.0,0.0,0.0,0.0
Student,,MATLAB,10.0,25.0,10.0,15.0,20.0,15.0
Business Analyst,Matplotlib,Python,5.0,25.0,10.0,25.0,15.0,15.0
Business Analyst,,,20.0,20.0,10.0,30.0,10.0,10.0
Data Analyst,Matplotlib,Python,5.0,20.0,10.0,5.0,5.0,55.0
Other,,Python,20.0,20.0,10.0,30.0,10.0,5.0
Student,,MATLAB,10.0,5.0,15.0,40.0,10.0,5.0
Student,,Python,10.0,0.0,0.0,20.0,0.0,70.0
Student,Plotly,C/C++,10.0,10.0,20.0,30.0,15.0,15.0
Student,,Java,20.0,15.0,10.0,30.0,15.0,10.0
Software Engineer,Matplotlib,Python,5.0,10.0,10.0,15.0,10.0,30.0
Data Scientist,Matplotlib,,10.0,50.0,10.0,10.0,10.0,10.0
Software Engineer,,Scala,30.0,20.0,5.0,40.0,5.0,0.0
Software Engineer,,Python,25.0,10.0,10.0,30.0,10.0,15.0
Student,Matplotlib,Python,15.0,10.0,25.0,25.0,10.0,15.0
Data Scientist,ggplot2,C/C++,70.0,10.0,10.0,10.0,0.0,0.0
Student,,Python,30.0,40.0,10.0,10.0,5.0,5.0
Other,,C/C++,,,,,,
Data Scientist,,C#/.NET,25.0,10.0,15.0,20.0,18.0,12.0
Software Engineer,,,30.0,5.0,5.0,20.0,35.0,5.0
Software Engineer,Matplotlib,,20.0,20.0,5.0,15.0,10.0,20.0
Student,,C/C++,60.0,20.0,0.0,0.0,10.0,10.0
Software Engineer,,Java,0.0,0.0,0.0,0.0,0.0,0.0
Software Engineer,Matplotlib,Python,30.0,10.0,5.0,25.0,10.0,10.0
Chief Officer,Matplotlib,,10.0,40.0,15.0,25.0,0.0,10.0
Software Engineer,,Python,20.0,40.0,20.0,0.0,0.0,20.0
Student,Matplotlib,Python,40.0,10.0,5.0,20.0,10.0,15.0
Data Analyst,,Python,5.0,3.0,1.0,20.0,30.0,15.0
Data Scientist,Matplotlib,,30.0,40.0,20.0,5.0,2.0,3.0
Software Engineer,,Scala,10.0,50.0,0.0,20.0,10.0,10.0
Data Engineer,Matplotlib,,10.0,20.0,10.0,20.0,20.0,20.0
Software Engineer,Matplotlib,Python,35.0,30.0,5.0,20.0,5.0,5.0
Data Scientist,Matplotlib,Python,30.0,20.0,10.0,15.0,10.0,15.0
Software Engineer,,Python,10.0,10.0,10.0,70.0,0.0,0.0
Data Analyst,Matplotlib,Python,5.0,5.0,5.0,50.0,5.0,15.0
Student,,Python,10.0,20.0,50.0,10.0,0.0,0.0
