current_role,data_vis_lib,prog_language,proportion_time-Gathering data,proportion_time-Cleaning data,proportion_time-Visualizing data,proportion_time-Model building/model selection,proportion_time-Putting the model into production,proportion_time-Finding insights in the data and communicating with stakeholders
Student,Matplotlib,Python,0.0,5.0,5.0,50.0,40.0,0.0
Other,ggplot2,,20.0,20.0,20.0,10.0,10.0,20.0
Research Scientist,Seaborn,Python,10.0,7.0,20.0,35.0,20.0,8.0
Manager,ggplot2,SQL,50.0,10.0,0.0,0.0,40.0,0.0
Data Analyst,Plotly,Python,5.0,20.0,20.0,40.0,0.0,15.0
Product/Project Manager,,R,10.0,50.0,15.0,10.0,5.0,10.0
Data Scientist,Matplotlib,Python,1.0,19.0,10.0,30.0,10.0,10.0
Statistician,Matplotlib,Python,10.0,20.0,20.0,30.0,10.0,10.0
Software Engineer,,Java,5.0,15.0,10.0,20.0,10.0,30.0
Data Scientist,ggplot2,Python,10.0,25.0,5.0,20.0,20.0,20.0
Manager,Matplotlib,Python,10.0,20.0,5.0,15.0,35.0,15.0
Data Scientist,Matplotlib,Python,0.0,30.0,30.0,20.0,0.0,20.0
Chief Officer,,Python,50.0,0.0,0.0,50.0,0.0,0.0
Business Analyst,ggplot2,,10.0,30.0,20.0,20.0,10.0,10.0
Data Scientist,ggplot2,Python,10.0,30.0,10.0,20.0,20.0,10.0
Consultant,ggplot2,Python,30.0,40.0,15.0,5.0,0.0,10.0
Data Scientist,Seaborn,Python,20.0,30.0,20.0,10.0,0.0,20.0
Consultant,Seaborn,Python,20.0,30.0,5.0,25.0,5.0,10.0
Student,Matplotlib,Python,10.0,5.0,10.0,20.0,30.0,20.0
Data Scientist,Matplotlib,Python,5.0,20.0,20.0,25.0,15.0,15.0
Software Engineer,,Scala,30.0,10.0,10.0,30.0,5.0,15.0
Data Scientist,,Python,24.0,0.0,13.0,14.0,13.0,36.0
Data Scientist,Matplotlib,Python,10.0,30.0,15.0,30.0,5.0,10.0
Chief Officer,,,,,,,,
Software Engineer,ggplot2,MATLAB,5.0,25.0,50.0,5.0,0.0,15.0
Data Scientist,ggplot2,R,30.0,20.0,10.0,10.0,20.0,10.0
Software Engineer,,Python,10.0,20.0,10.0,20.0,10.0,30.0
Business Analyst,Matplotlib,SQL,15.0,55.0,20.0,10.0,0.0,0.0
Research Scientist,Matplotlib,Python,5.0,15.0,5.0,50.0,10.0,10.0
Student,Matplotlib,Python,10.0,20.0,5.0,35.0,15.0,15.0
Student,Matplotlib,,38.0,30.0,17.0,10.0,5.0,0.0
Research Scientist,Matplotlib,Python,30.0,10.0,15.0,15.0,20.0,10.0
Student,,,40.0,0.0,15.0,10.0,15.0,20.0
Data Analyst,ggplot2,R,70.0,20.0,3.0,1.0,1.0,2.0
Product/Project Manager,ggplot2,,10.0,30.0,30.0,30.0,0.0,0.0
Software Engineer,Matplotlib,Python,10.0,20.0,10.0,30.0,20.0,10.0
Data Scientist,,Python,20.0,20.0,10.0,20.0,20.0,10.0
Student,Seaborn,Python,30.0,30.0,15.0,13.0,7.0,5.0
Student,,,0.0,50.0,0.0,50.0,0.0,0.0
Other,Seaborn,,1.0,40.0,8.0,35.0,5.0,10.0
Data Scientist,Matplotlib,Python,30.0,10.0,5.0,25.0,20.0,10.0
Data Scientist,ggplot2,Python,10.0,30.0,10.0,20.0,15.0,15.0
Software Engineer,ggplot2,Python,30.0,60.0,10.0,0.0,0.0,0.0
Data Scientist,,SAS/STATA,10.0,25.0,10.0,20.0,10.0,25.0
Principal Investigator,,C/C++,80.0,20.0,0.0,0.0,0.0,0.0
Consultant,ggplot2,Ruby,70.0,10.0,5.0,5.0,5.0,5.0
Data Analyst,,SQL,15.0,35.0,10.0,0.0,0.0,40.0
Other,,,,,,,,
Student,Matplotlib,MATLAB,30.0,30.0,15.0,10.0,0.0,15.0
Data Analyst,Matplotlib,Python,30.0,30.0,10.0,15.0,10.0,5.0
Business Analyst,D3,Python,30.0,40.0,10.0,10.0,10.0,0.0
Student,Matplotlib,Python,5.0,10.0,10.0,60.0,10.0,5.0
Software Engineer,,PHP,10.0,40.0,10.0,30.0,0.0,10.0
Software Engineer,,Javascript/Typescript,20.0,40.0,10.0,10.0,5.0,10.0
Chief Officer,,R,10.0,20.0,20.0,20.0,10.0,20.0
Software Engineer,,Ruby,50.0,20.0,10.0,10.0,5.0,5.0
Student,,Python,30.0,20.0,10.0,10.0,10.0,10.0
Software Engineer,,Javascript/Typescript,20.0,10.0,10.0,30.0,30.0,0.0
Software Engineer,,,,,,,,
Data Engineer,Leaflet,Python,20.0,40.0,10.0,20.0,5.0,5.0
Data Analyst,Seaborn,Python,10.0,30.0,20.0,20.0,10.0,10.0
Software Engineer,ggplot2,Javascript/Typescript,10.0,25.0,15.0,30.0,5.0,15.0
Software Engineer,,Other,5.0,85.0,5.0,5.0,0.0,0.0
Business Analyst,Matplotlib,Python,10.0,40.0,5.0,25.0,5.0,15.0
Research Scientist,ggplot2,MATLAB,0.0,25.0,25.0,10.0,0.0,40.0
Product/Project Manager,Matplotlib,Python,50.0,10.0,10.0,10.0,10.0,10.0
Data Analyst,Seaborn,Python,30.0,20.0,20.0,10.0,0.0,20.0
Not employed,,Python,0.0,0.0,0.0,0.0,0.0,0.0
Consultant,,MATLAB,20.0,10.0,20.0,35.0,10.0,5.0
Manager,Matplotlib,Python,50.0,20.0,5.0,10.0,5.0,10.0
Research Scientist,ggplot2,R,30.0,40.0,15.0,10.0,0.0,5.0
Product/Project Manager,,,20.0,30.0,30.0,0.0,0.0,20.0
Data Scientist,ggplot2,SQL,15.0,35.0,15.0,15.0,5.0,15.0
Manager,,,20.0,30.0,20.0,10.0,0.0,20.0
Research Scientist,Matplotlib,Python,40.0,10.0,10.0,20.0,0.0,20.0
Student,Matplotlib,Python,30.0,20.0,10.0,30.0,5.0,0.0
Student,Matplotlib,Python,20.0,20.0,20.0,20.0,0.0,20.0
Research Scientist,Seaborn,MATLAB,10.0,30.0,20.0,30.0,0.0,10.0
Chief Officer,Matplotlib,PHP,25.0,15.0,15.0,30.0,5.0,10.0
Other,,Python,10.0,0.0,30.0,60.0,0.0,0.0
Data Scientist,ggplot2,Python,10.0,70.0,5.0,15.0,0.0,0.0
Student,,,40.0,15.0,10.0,25.0,5.0,5.0
Data Scientist,Matplotlib,Python,0.0,0.0,0.0,100.0,0.0,0.0
Data Scientist,ggplot2,R,5.0,30.0,10.0,25.0,5.0,25.0
Research Scientist,Matplotlib,,15.0,30.0,10.0,15.0,5.0,25.0
Research Assistant,Matplotlib,Python,20.0,30.0,20.0,30.0,0.0,0.0
Software Engineer,Matplotlib,Python,5.0,20.0,20.0,25.0,15.0,15.0
Data Scientist,Matplotlib,Python,0.0,30.0,20.0,10.0,0.0,20.0
Data Analyst,,SQL,20.0,30.0,20.0,10.0,0.0,20.0
Not employed,,,10.0,30.0,10.0,30.0,10.0,10.0
Manager,Matplotlib,Python,20.0,20.0,10.0,20.0,10.0,20.0
Data Scientist,ggplot2,Python,0.0,40.0,20.0,10.0,20.0,10.0
Student,Seaborn,Python,20.0,40.0,20.0,20.0,0.0,0.0
Salesperson,ggplot2,Python,25.0,30.0,10.0,15.0,10.0,10.0
Research Scientist,ggplot2,R,5.0,60.0,5.0,15.0,5.0,10.0
Research Scientist,,Python,30.0,30.0,20.0,10.0,10.0,0.0
Data Scientist,ggplot2,Python,60.0,10.0,5.0,10.0,10.0,5.0
Consultant,ggplot2,Bash,10.0,30.0,40.0,0.0,0.0,20.0
Product/Project Manager,Seaborn,Python,5.0,35.0,15.0,10.0,5.0,30.0
Product/Project Manager,ggplot2,Python,10.0,20.0,20.0,15.0,15.0,20.0
Data Scientist,Seaborn,Python,20.0,50.0,20.0,0.0,0.0,0.0
Principal Investigator,Matplotlib,,30.0,20.0,10.0,20.0,10.0,10.0
Research Scientist,Matplotlib,,10.0,20.0,0.0,10.0,0.0,0.0
Student,,Python,10.0,10.0,20.0,40.0,10.0,0.0
Data Scientist,Matplotlib,,20.0,20.0,20.0,20.0,20.0,0.0
Software Engineer,Matplotlib,,100.0,0.0,0.0,0.0,0.0,0.0
Student,,Python,0.0,0.0,100.0,0.0,0.0,0.0
Other,ggplot2,,20.0,10.0,10.0,30.0,10.0,15.0
Student,,Python,20.0,40.0,0.0,40.0,0.0,0.0
Data Scientist,Matplotlib,Python,10.0,10.0,15.0,20.0,30.0,15.0
Research Scientist,Shiny,Python,0.0,75.0,15.0,5.0,0.0,5.0
Developer Advocate,,Java,0.0,0.0,0.0,0.0,0.0,0.0
Student,,Javascript/Typescript,15.0,15.0,15.0,15.0,15.0,15.0
Other,Matplotlib,Python,7.0,3.0,10.0,70.0,10.0,0.0
Data Scientist,ggplot2,Python,30.0,30.0,5.0,20.0,10.0,5.0
Student,Matplotlib,Python,5.0,5.0,5.0,85.0,0.0,0.0
Not employed,Matplotlib,,0.0,0.0,20.0,80.0,0.0,0.0
Data Scientist,Matplotlib,,30.0,40.0,10.0,15.0,0.0,5.0
Not employed,Matplotlib,,0.0,70.0,10.0,10.0,0.0,10.0
Software Engineer,,Java,5.0,30.0,10.0,40.0,10.0,5.0
DBA/Database Engineer,ggplot2,SQL,15.0,30.0,20.0,20.0,10.0,5.0
Product/Project Manager,,,,,,,,
Research Scientist,Matplotlib,SAS/STATA,5.0,20.0,15.0,10.0,10.0,40.0
Not employed,,SQL,,,,,,
Student,,Python,10.0,10.0,20.0,40.0,10.0,10.0
Student,Matplotlib,Python,5.0,10.0,35.0,30.0,5.0,10.0
Student,Matplotlib,Python,20.0,30.0,10.0,20.0,10.0,10.0
Research Scientist,,MATLAB,10.0,20.0,30.0,30.0,10.0,0.0
Data Analyst,Matplotlib,Python,80.0,20.0,0.0,0.0,0.0,0.0
Data Analyst,Seaborn,Python,15.0,20.0,15.0,25.0,10.0,15.0
Student,Matplotlib,,40.0,25.0,10.0,20.0,0.0,5.0
Student,,Javascript/Typescript,10.0,10.0,10.0,10.0,10.0,30.0
Research Scientist,,,10.0,20.0,5.0,30.0,5.0,20.0
Student,Matplotlib,Python,5.0,35.0,10.0,35.0,0.0,15.0
Student,,Java,10.0,5.0,20.0,15.0,20.0,20.0
Other,Matplotlib,Python,10.0,55.0,20.0,10.0,0.0,5.0
Data Scientist,,,20.0,20.0,20.0,10.0,0.0,20.0
Data Engineer,,SQL,0.0,70.0,10.0,20.0,0.0,0.0
Data Scientist,Shiny,R,10.0,40.0,10.0,20.0,10.0,10.0
Business Analyst,ggplot2,R,60.0,0.0,0.0,40.0,0.0,0.0
Manager,Matplotlib,Python,5.0,5.0,5.0,20.0,10.0,20.0
Data Analyst,Matplotlib,Python,20.0,20.0,20.0,20.0,0.0,20.0
Student,ggplot2,R,15.0,30.0,15.0,15.0,5.0,10.0
Data Scientist,Matplotlib,Python,10.0,30.0,20.0,20.0,10.0,10.0
Research Assistant,Seaborn,Python,10.0,20.0,30.0,30.0,0.0,0.0
Software Engineer,ggplot2,Java,35.0,35.0,0.0,0.0,0.0,30.0
Data Analyst,ggplot2,Visual Basic/VBA,10.0,40.0,20.0,10.0,10.0,10.0
Data Scientist,ggplot2,R,15.0,35.0,15.0,15.0,10.0,10.0
Software Engineer,,C/C++,10.0,40.0,0.0,50.0,0.0,0.0
Research Scientist,,,70.0,10.0,10.0,0.0,0.0,10.0
Manager,,R,20.0,40.0,20.0,10.0,0.0,10.0
Data Scientist,ggplot2,R,15.0,25.0,20.0,25.0,5.0,10.0
Not employed,,MATLAB,10.0,5.0,20.0,20.0,20.0,25.0
Data Analyst,,Visual Basic/VBA,1.0,1.0,20.0,28.0,0.0,0.0
Other,ggplot2,Scala,0.0,10.0,0.0,50.0,20.0,20.0
Software Engineer,Matplotlib,Python,5.0,30.0,10.0,40.0,0.0,10.0
Data Scientist,Matplotlib,Python,13.0,20.0,13.0,20.0,20.0,14.0
Data Analyst,,Ruby,30.0,40.0,10.0,10.0,0.0,10.0
Business Analyst,Matplotlib,Python,0.0,20.0,30.0,0.0,0.0,40.0
Student,,R,33.0,33.0,34.0,0.0,0.0,0.0
Data Scientist,,,0.0,0.0,0.0,10.0,0.0,0.0
Manager,,,,,,,,
Not employed,,,5.0,5.0,10.0,10.0,20.0,20.0
Data Scientist,Matplotlib,SQL,10.0,50.0,15.0,10.0,0.0,15.0
Student,,R,20.0,60.0,10.0,10.0,0.0,0.0
Other,Matplotlib,Python,20.0,10.0,5.0,20.0,20.0,20.0
Student,,Python,80.0,2.0,2.0,2.0,10.0,2.0
Other,,,,,,,,
Data Analyst,Matplotlib,SQL,10.0,30.0,10.0,20.0,20.0,10.0
Student,,Python,20.0,20.0,10.0,10.0,20.0,10.0
Research Scientist,,,50.0,10.0,5.0,35.0,0.0,0.0
Data Scientist,Matplotlib,,30.0,25.0,5.0,30.0,5.0,5.0
Data Analyst,ggplot2,R,30.0,30.0,15.0,20.0,0.0,5.0
Student,,C/C++,,,,,,
Research Scientist,Matplotlib,C#/.NET,20.0,30.0,10.0,20.0,20.0,0.0
Data Analyst,Seaborn,Python,5.0,25.0,10.0,25.0,10.0,5.0
Data Scientist,Matplotlib,,20.0,20.0,10.0,25.0,10.0,15.0
Other,Bokeh,R,15.0,25.0,20.0,10.0,10.0,10.0
Data Analyst,Plotly,R,30.0,10.0,10.0,30.0,10.0,10.0
Data Scientist,Matplotlib,Python,20.0,0.0,10.0,35.0,35.0,0.0
Data Scientist,ggplot2,Python,15.0,15.0,15.0,25.0,10.0,15.0
Product/Project Manager,,,5.0,15.0,10.0,25.0,15.0,30.0
Software Engineer,Matplotlib,C/C++,20.0,10.0,10.0,30.0,20.0,10.0
Other,,R,,,,,,
Software Engineer,Matplotlib,Java,10.0,30.0,35.0,15.0,5.0,5.0
Student,ggplot2,R,40.0,5.0,15.0,30.0,10.0,0.0
Student,Seaborn,,25.0,50.0,15.0,10.0,0.0,0.0
Data Scientist,Seaborn,Python,20.0,50.0,10.0,10.0,5.0,5.0
Chief Officer,Matplotlib,Python,20.0,20.0,10.0,30.0,5.0,15.0
Not employed,Matplotlib,Python,30.0,20.0,10.0,30.0,5.0,5.0
Data Analyst,Matplotlib,,0.0,0.0,0.0,0.0,0.0,0.0
Product/Project Manager,ggplot2,Visual Basic/VBA,5.0,5.0,0.0,5.0,5.0,0.0
Other,Seaborn,Python,15.0,50.0,15.0,10.0,0.0,10.0
Marketing Analyst,,,50.0,20.0,20.0,0.0,0.0,10.0
Data Analyst,ggplot2,Python,5.0,10.0,20.0,40.0,20.0,5.0
Other,,,,,,,,
Research Scientist,Matplotlib,,15.0,35.0,15.0,25.0,0.0,5.0
Research Scientist,,MATLAB,20.0,20.0,10.0,30.0,10.0,10.0
Research Scientist,Matplotlib,Python,30.0,30.0,15.0,15.0,0.0,10.0
Not employed,Matplotlib,Python,20.0,20.0,20.0,20.0,0.0,20.0
Product/Project Manager,,C/C++,90.0,5.0,1.0,0.1,0.01,3.89
Data Analyst,ggplot2,SAS/STATA,30.0,20.0,10.0,20.0,10.0,10.0
Other,ggplot2,R,7.0,23.0,22.0,20.0,12.0,12.0
Data Scientist,Shiny,Python,20.0,35.0,15.0,5.0,5.0,20.0
Consultant,,R,10.0,40.0,30.0,5.0,5.0,10.0
Data Scientist,ggplot2,R,0.0,30.0,10.0,0.0,0.0,50.0
Software Engineer,ggplot2,Java,20.0,30.0,5.0,10.0,5.0,20.0
Data Scientist,Matplotlib,Python,20.0,30.0,10.0,10.0,5.0,20.0
Consultant,ggplot2,R,5.0,25.0,5.0,30.0,15.0,10.0
Other,ggplot2,Python,20.0,40.0,10.0,10.0,10.0,10.0
Business Analyst,ggplot2,,10.0,50.0,10.0,20.0,0.0,10.0
Research Scientist,,MATLAB,20.0,20.0,10.0,50.0,0.0,0.0
Student,Matplotlib,Python,5.0,50.0,15.0,10.0,5.0,15.0
Chief Officer,,,5.0,10.0,20.0,0.0,25.0,40.0
Software Engineer,Matplotlib,Python,20.0,20.0,20.0,20.0,0.0,20.0
Business Analyst,,,30.0,20.0,5.0,0.0,0.0,45.0
Student,Plotly,,100.0,0.0,0.0,0.0,0.0,0.0
Data Scientist,Matplotlib,Python,0.0,30.0,15.0,5.0,10.0,40.0
Business Analyst,,,,,,,,
Data Scientist,Matplotlib,Python,10.0,70.0,10.0,3.0,2.0,5.0
Chief Officer,Plotly,Python,0.0,0.0,20.0,50.0,0.0,30.0
Software Engineer,,Javascript/Typescript,10.0,25.0,25.0,0.0,0.0,40.0
Student,Matplotlib,Python,20.0,20.0,20.0,15.0,15.0,10.0
Data Scientist,Matplotlib,,5.0,40.0,20.0,15.0,10.0,10.0
Data Scientist,Matplotlib,SAS/STATA,5.0,50.0,15.0,5.0,0.0,25.0
Salesperson,,,10.0,10.0,10.0,20.0,10.0,10.0
Data Scientist,Matplotlib,Python,25.0,30.0,10.0,20.0,5.0,10.0
Data Scientist,,R,30.0,30.0,10.0,20.0,0.0,10.0
Manager,ggplot2,R,30.0,25.0,5.0,15.0,5.0,20.0
Data Analyst,,Python,,,,,,
Software Engineer,Matplotlib,C#/.NET,0.0,5.0,5.0,50.0,0.0,30.0
Consultant,,,30.0,30.0,30.0,0.0,0.0,10.0
Software Engineer,,C/C++,10.0,30.0,10.0,20.0,10.0,20.0
Student,ggplot2,R,10.0,20.0,5.0,15.0,10.0,30.0
Data Scientist,Matplotlib,Python,10.0,40.0,15.0,20.0,5.0,10.0
Data Scientist,,PHP,15.0,15.0,15.0,20.0,20.0,10.0
Student,,C/C++,10.0,5.0,15.0,10.0,20.0,40.0
Data Scientist,Matplotlib,Python,8.0,40.0,5.0,15.0,30.0,2.0
Other,,SQL,,,,,,
Product/Project Manager,Matplotlib,,30.0,0.0,30.0,0.0,0.0,40.0
Student,Matplotlib,Python,20.0,30.0,10.0,20.0,10.0,10.0
Manager,,SQL,0.0,15.0,20.0,20.0,20.0,25.0
Not employed,,,,,,,,
Software Engineer,,C#/.NET,,,,,,
Student,Matplotlib,Python,0.0,10.0,10.0,60.0,0.0,20.0
Software Engineer,ggplot2,SQL,20.0,30.0,10.0,20.0,10.0,10.0
Student,,Python,10.0,5.0,15.0,30.0,30.0,5.0
Statistician,Lattice,,20.0,40.0,10.0,10.0,0.0,20.0
Data Analyst,ggplot2,Python,5.0,20.0,10.0,40.0,5.0,10.0
Statistician,ggplot2,,20.0,10.0,20.0,30.0,0.0,20.0
Student,,R,,,,,,
Software Engineer,Seaborn,Python,20.0,10.0,20.0,30.0,0.0,20.0
Student,Matplotlib,,0.0,55.0,20.0,25.0,0.0,0.0
Data Analyst,,,30.0,20.0,20.0,10.0,10.0,10.0
Data Scientist,Matplotlib,,10.0,40.0,30.0,20.0,0.0,0.0
Data Scientist,Seaborn,Python,40.0,10.0,10.0,20.0,10.0,10.0
Product/Project Manager,,R,50.0,10.0,10.0,10.0,10.0,10.0
Not employed,Seaborn,Python,5.0,15.0,3.0,20.0,20.0,10.0
Data Scientist,ggplot2,R,25.0,25.0,15.0,15.0,10.0,10.0
Other,,Python,0.0,0.0,0.0,0.0,0.0,0.0
Not employed,Matplotlib,Javascript/Typescript,20.0,20.0,10.0,20.0,30.0,0.0
Data Analyst,Matplotlib,Python,20.0,20.0,10.0,10.0,10.0,20.0
Not employed,Matplotlib,Python,10.0,30.0,20.0,0.0,0.0,40.0
Software Engineer,,,70.0,20.0,10.0,0.0,0.0,0.0
Student,,C/C++,10.0,10.0,20.0,30.0,20.0,10.0
Software Engineer,,C/C++,30.0,10.0,0.0,40.0,20.0,0.0
Data Analyst,Matplotlib,SAS/STATA,10.0,35.0,10.0,25.0,5.0,10.0
Other,Matplotlib,Python,20.0,15.0,15.0,50.0,0.0,0.0
Product/Project Manager,Matplotlib,Python,30.0,20.0,30.0,10.0,0.0,10.0
Software Engineer,Matplotlib,Python,10.0,0.0,0.0,20.0,55.0,15.0
Business Analyst,Seaborn,,30.0,10.0,25.0,10.0,5.0,20.0
Software Engineer,,Python,0.0,20.0,10.0,20.0,40.0,10.0
Data Scientist,Matplotlib,Python,50.0,35.0,0.0,10.0,2.5,2.5
Product/Project Manager,Matplotlib,Python,50.0,10.0,10.0,10.0,10.0,10.0
Data Scientist,D3,Python,10.0,20.0,5.0,50.0,10.0,5.0
Consultant,,,40.0,30.0,20.0,0.0,0.0,10.0
DBA/Database Engineer,Matplotlib,Python,10.0,50.0,20.0,5.0,10.0,5.0
Data Scientist,ggplot2,,20.0,50.0,5.0,10.0,5.0,10.0
Chief Officer,,,10.0,10.0,10.0,30.0,30.0,10.0
Software Engineer,Matplotlib,Go,10.0,50.0,10.0,30.0,0.0,0.0
Data Scientist,Matplotlib,Python,10.0,25.0,10.0,25.0,10.0,10.0
Product/Project Manager,Matplotlib,,20.0,30.0,10.0,10.0,10.0,20.0
Research Scientist,D3,Python,15.0,20.0,15.0,20.0,10.0,20.0
Statistician,ggplot2,R,10.0,40.0,30.0,10.0,5.0,5.0
Software Engineer,ggplot2,Javascript/Typescript,20.0,30.0,20.0,15.0,0.0,15.0
Student,Matplotlib,,0.0,50.0,30.0,20.0,0.0,0.0
Data Analyst,ggplot2,R,2.0,0.0,60.0,0.0,0.0,18.0
Data Scientist,Matplotlib,,10.0,20.0,10.0,20.0,10.0,30.0
Marketing Analyst,,,15.0,5.0,20.0,20.0,20.0,20.0
Chief Officer,ggplot2,MATLAB,40.0,10.0,20.0,30.0,0.0,0.0
Consultant,Matplotlib,Python,5.0,44.0,20.0,20.0,5.0,5.0
Data Scientist,Seaborn,Python,20.0,10.0,20.0,10.0,10.0,30.0
Data Scientist,Plotly,R,0.0,0.0,25.0,25.0,25.0,25.0
Chief Officer,Matplotlib,Python,5.0,5.0,10.0,35.0,15.0,20.0
Other,,,0.0,5.0,10.0,50.0,0.0,0.0
Manager,,Java,40.0,10.0,10.0,20.0,10.0,10.0
Data Scientist,Matplotlib,Python,0.0,65.0,10.0,10.0,10.0,5.0
Data Analyst,ggplot2,R,10.0,35.0,10.0,20.0,15.0,5.0
Student,Seaborn,Python,15.0,25.0,10.0,15.0,5.0,25.0
Software Engineer,,Bash,5.0,10.0,5.0,25.0,25.0,25.0
Business Analyst,Seaborn,Python,20.0,50.0,10.0,10.0,0.0,10.0
Other,Other,Bash,10.0,10.0,5.0,20.0,10.0,40.0
Student,Bokeh,,40.0,20.0,0.0,20.0,20.0,0.0
Not employed,,Python,5.0,20.0,10.0,5.0,10.0,10.0
Marketing Analyst,Matplotlib,Python,30.0,20.0,10.0,20.0,0.0,20.0
Other,Matplotlib,Other,0.0,5.0,5.0,90.0,0.0,0.0
Product/Project Manager,,PHP,,,,,,
Software Engineer,Matplotlib,Python,30.0,10.0,10.0,30.0,15.0,5.0
Data Scientist,Matplotlib,,10.0,25.0,10.0,5.0,0.0,50.0
Data Scientist,Seaborn,Python,10.0,30.0,10.0,20.0,20.0,10.0
Research Assistant,,,,,,,,
Software Engineer,D3,Javascript/Typescript,40.0,10.0,20.0,20.0,0.0,0.0
Not employed,Bokeh,Python,10.0,40.0,20.0,30.0,0.0,0.0
Business Analyst,ggplot2,SQL,5.0,35.0,5.0,15.0,20.0,20.0
Student,,Python,5.0,60.0,0.0,15.0,5.0,10.0
Other,ggplot2,,30.0,10.0,10.0,0.0,0.0,40.0
Consultant,ggplot2,R,25.0,25.0,0.0,25.0,0.0,25.0
Statistician,Plotly,,20.0,25.0,25.0,20.0,5.0,5.0
Software Engineer,Matplotlib,Python,20.0,10.0,20.0,15.0,25.0,10.0
Data Scientist,ggplot2,Python,10.0,30.0,15.0,15.0,5.0,25.0
Data Scientist,,,20.0,25.0,15.0,20.0,10.0,10.0
Business Analyst,,,50.0,5.0,10.0,0.0,0.0,25.0
Not employed,Seaborn,Javascript/Typescript,50.0,20.0,10.0,10.0,8.0,2.0
Data Analyst,,C#/.NET,0.0,35.0,5.0,50.0,0.0,10.0
Data Scientist,,,20.0,5.0,10.0,25.0,10.0,20.0
Product/Project Manager,,R,30.0,20.0,10.0,10.0,10.0,20.0
Data Scientist,Plotly,Python,10.0,20.0,15.0,20.0,20.0,15.0
Data Analyst,Matplotlib,SQL,25.0,10.0,50.0,10.0,0.0,5.0
Data Engineer,Matplotlib,Python,20.0,30.0,10.0,10.0,20.0,10.0
Student,,Java,0.0,30.0,10.0,40.0,20.0,0.0
Student,Seaborn,Python,70.0,5.0,15.0,5.0,0.0,5.0
Data Scientist,,,10.0,20.0,0.0,70.0,0.0,0.0
Research Scientist,Matplotlib,,15.0,60.0,5.0,10.0,5.0,5.0
Data Scientist,Matplotlib,Python,30.0,15.0,10.0,10.0,5.0,30.0
Business Analyst,Matplotlib,Python,10.0,20.0,15.0,25.0,0.0,30.0
Software Engineer,Matplotlib,Python,10.0,30.0,20.0,40.0,0.0,0.0
Data Scientist,Matplotlib,Python,40.0,30.0,10.0,10.0,0.0,10.0
Student,Matplotlib,Python,20.0,5.0,0.0,30.0,25.0,20.0
Research Scientist,,MATLAB,10.0,25.0,5.0,20.0,20.0,20.0
Statistician,ggplot2,R,20.0,25.0,10.0,25.0,5.0,15.0
Data Scientist,ggplot2,R,5.0,25.0,10.0,10.0,15.0,10.0
Other,,C/C++,70.0,5.0,5.0,5.0,5.0,10.0
Not employed,,Python,3.0,5.0,2.0,90.0,0.0,0.0
Student,Matplotlib,Python,70.0,15.0,5.0,2.0,0.0,0.0
Student,Matplotlib,SQL,30.0,10.0,10.0,50.0,0.0,0.0
Software Engineer,Matplotlib,Scala,10.0,30.0,20.0,10.0,20.0,10.0
Student,Matplotlib,Python,15.0,25.0,20.0,15.0,10.0,5.0
Consultant,ggplot2,Javascript/Typescript,10.0,30.0,30.0,20.0,5.0,5.0
Not employed,,MATLAB,,,,,,
Student,,C/C++,30.0,20.0,10.0,10.0,5.0,5.0
Manager,,Python,10.0,70.0,0.0,0.0,0.0,10.0
Software Engineer,Matplotlib,Java,15.0,40.0,20.0,10.0,5.0,10.0
Software Engineer,Matplotlib,Python,0.0,50.0,20.0,20.0,10.0,0.0
Data Scientist,Matplotlib,Python,5.0,40.0,10.0,10.0,5.0,30.0
Student,,Python,20.0,10.0,10.0,40.0,20.0,0.0
Student,,Java,10.0,10.0,20.0,20.0,20.0,20.0
Business Analyst,ggplot2,R,15.0,20.0,15.0,25.0,0.0,25.0
Data Scientist,ggplot2,R,10.0,30.0,10.0,10.0,35.0,5.0
Student,,Python,10.0,60.0,5.0,10.0,5.0,10.0
Software Engineer,,Java,,,,,,
Data Scientist,Shiny,,10.0,15.0,5.0,20.0,20.0,10.0
Research Scientist,,Python,20.0,20.0,10.0,20.0,10.0,10.0
Student,ggplot2,Python,20.0,20.0,10.0,20.0,5.0,20.0
Student,,Python,10.0,5.0,15.0,20.0,20.0,20.0
Manager,ggplot2,,20.0,30.0,30.0,10.0,0.0,10.0
Research Assistant,Matplotlib,Python,20.0,10.0,5.0,25.0,0.0,5.0
Data Scientist,Matplotlib,Python,10.0,30.0,40.0,20.0,0.0,0.0
Data Scientist,,MATLAB,10.0,60.0,0.0,10.0,0.0,20.0
Student,Matplotlib,MATLAB,5.0,15.0,10.0,50.0,10.0,5.0
Business Analyst,,,5.0,5.0,30.0,0.0,20.0,30.0
Data Analyst,Matplotlib,,5.0,15.0,15.0,15.0,0.0,50.0
Data Scientist,ggplot2,R,10.0,30.0,10.0,30.0,15.0,5.0
Student,Matplotlib,Python,10.0,30.0,5.0,20.0,30.0,5.0
Software Engineer,Matplotlib,C#/.NET,40.0,10.0,10.0,10.0,10.0,0.0
Software Engineer,Seaborn,Java,10.0,20.0,25.0,35.0,0.0,0.0
Student,ggplot2,Python,20.0,20.0,10.0,20.0,15.0,15.0
Software Engineer,Seaborn,C#/.NET,0.0,0.0,0.0,0.0,0.0,100.0
Data Scientist,ggplot2,Python,10.0,60.0,5.0,5.0,10.0,10.0
